,cifar-100(asym)-0.1,cifar-100(asym)-0.25,cifar-100(asym)-0.5,cifar-100(asym)-0.75,cifar-100(asym)-0.9
pretrain,65.16,65.16,65.16,65.16,65.16
inc_train,63.7,55.88,38.55,17.37,7.5
Coteaching,37.75,40.93,39.0,40.45,38.57
Coteachingplus,62.12,58.36,52.75,52.78,51.39
Decoupling,60.27,59.73,56.89,56.75,51.28
DISC,61.48,60.73,59.34,57.02,56.29
ELR,59.04,59.23,57.11,54.72,55.11
GJS,61.15,60.97,59.38,56.89,54.47
JoCoR,61.58,50.63,54.97,36.44,38.54
NegativeLearning,61.4,61.37,60.16,55.99,54.61
PENCIL,65.02,61.49,56.73,39.84,17.64
FT,64.77,60.81,54.42,35.53,12.67
GA,64.06,56.47,38.41,17.72,7.53
GA_l1,64.52,57.61,35.29,19.92,8.64
wfisher,63.69,55.9,38.66,17.42,7.63
CRUL,66.78,65.43,63.85,60.95,58.26
