,flower-102(sym)-0.1,flower-102(sym)-0.25,flower-102(sym)-0.5,flower-102(sym)-0.75,flower-102(sym)-0.9
pretrain,91.07843137254902,91.07843137254902,91.07843137254902,91.07843137254902,91.07843137254902
inc_train,93.62745098039215,87.3529411764706,66.47058823529412,10.68627450980392,2.843137254901961
Coteaching,90.88235294117646,64.41176470588235,64.2156862745098,16.96078431372549,3.5294117647058822
Coteachingplus,89.31372549019608,85.29411764705883,63.13725490196079,14.019607843137257,2.647058823529412
Decoupling,92.54901960784314,86.27450980392157,67.74509803921569,15.68627450980392,3.627450980392157
DISC,91.27450980392156,87.3529411764706,88.52941176470588,59.90196078431372,19.41176470588235
ELR,90.3921568627451,87.74509803921569,75.98039215686275,40.490196078431374,15.588235294117649
GJS,90.09803921568628,89.90196078431373,73.72549019607843,58.333333333333336,22.15686274509804
JoCoR,92.05882352941175,85.19607843137256,63.431372549019606,13.627450980392156,2.7450980392156863
NegativeLearning,93.62745098039215,90.68627450980392,74.70588235294117,16.764705882352942,3.92156862745098
PENCIL,93.82352941176472,87.45098039215686,66.66666666666667,10.980392156862743,2.7450980392156863
FT,93.72549019607844,87.05882352941177,65.88235294117646,10.784313725490197,2.7450980392156863
GA,93.62745098039215,87.15686274509804,66.96078431372548,11.176470588235292,2.450980392156863
GA_l1,93.62745098039215,87.15686274509804,67.25490196078431,10.882352941176473,2.549019607843137
wfisher,93.52941176470588,87.45098039215686,66.76470588235294,10.980392156862743,1.862745098039216
CRUL,94.6078431372549,90.3921568627451,90.49019607843135,60.09803921568628,25.098039215686278
