,cifar-10(sym)-0.1,cifar-10(sym)-0.25,cifar-10(sym)-0.5,cifar-10(sym)-0.75,cifar-10(sym)-0.9,cifar-100(asym)-0.1,cifar-100(asym)-0.25,cifar-100(asym)-0.5,cifar-100(asym)-0.75,cifar-100(asym)-0.9,flower-102(sym)-0.1,flower-102(sym)-0.25,flower-102(sym)-0.5,flower-102(sym)-0.75,flower-102(sym)-0.9,pet-37(asym)-0.1,pet-37(asym)-0.25,pet-37(asym)-0.5,pet-37(asym)-0.75,pet-37(asym)-0.9
pretrain,84.85,84.85,84.85,84.85,84.85,65.16,65.16,65.16,65.16,65.16,91.07843137254902,91.07843137254902,91.07843137254902,91.07843137254902,91.07843137254902,89.26137912237667,89.26137912237667,89.26137912237667,89.26137912237667,89.26137912237667
inc_train,84.82,79.3,65.06,45.82,30.04,63.7,55.88,38.55,17.37,7.5,93.62745098039215,87.3529411764706,66.47058823529412,10.68627450980392,2.843137254901961,90.7331698010357,82.7200872172254,53.69310438811665,18.88798037612429,4.933224311801581
Coteaching,45.12,44.7,45.44,46.28,53.7,37.75,40.93,39.0,40.45,38.57,90.88235294117646,64.41176470588235,64.2156862745098,16.96078431372549,3.5294117647058822,86.20877623330608,67.62060506950122,58.43554101935132,66.14881439084219,50.83128917961297
Coteachingplus,73.29,73.39,59.37,77.44,70.64,62.12,58.36,52.75,52.78,51.39,89.31372549019608,85.29411764705883,63.13725490196079,14.019607843137257,2.647058823529412,88.90705914418098,88.98882529299537,86.45407467974925,69.96456800218043,28.6181520850368
Decoupling,83.52,82.44,80.35,77.66,71.99,60.27,59.73,56.89,56.75,51.28,92.54901960784314,86.27450980392157,67.74509803921569,15.68627450980392,3.627450980392157,89.17961297356229,88.44371763423275,87.87135459253203,79.44944126464976,47.86045243935677
DISC,85.37,85.15,82.1,79.64,76.39,61.48,60.73,59.34,57.02,56.29,91.27450980392156,87.3529411764706,88.52941176470588,59.90196078431372,19.41176470588235,73.23521395475606,67.72962660125374,65.05859907331698,54.97410738620878,35.92259471245571
ELR,82.63,81.96,80.91,78.06,73.74,59.04,59.23,57.11,54.72,55.11,90.3921568627451,87.74509803921569,75.98039215686275,40.490196078431374,15.588235294117649,76.83292450258926,72.25402016898337,63.0962115017716,60.697737803216135,35.32297628781684
GJS,85.13,84.1,81.65,79.58,75.17,61.15,60.97,59.38,56.89,54.47,90.09803921568628,89.90196078431373,73.72549019607843,58.333333333333336,22.15686274509804,73.83483237939492,72.98991550831289,66.58490051785228,54.53802125919869,33.415099482147724
JoCoR,85.75,83.31,76.32,64.59,54.23,61.58,50.63,54.97,36.44,38.54,92.05882352941175,85.19607843137256,63.431372549019606,13.627450980392156,2.7450980392156863,49.93186154265467,84.68247478877078,68.19296811120196,42.89997274461706,28.40010902153175
NegativeLearning,84.28,83.8,82.0,79.84,75.4,61.4,61.37,60.16,55.99,54.61,93.62745098039215,90.68627450980392,74.70588235294117,16.764705882352942,3.92156862745098,91.25102207686018,90.43336058871628,89.20686835650041,85.58190242572908,63.58680839465794
PENCIL,86.21,84.47,80.44,74.62,64.62,65.02,61.49,56.73,39.84,17.64,93.82352941176472,87.45098039215686,66.66666666666667,10.980392156862743,2.7450980392156863,92.01417279912783,85.20032706459526,55.164895066775685,15.181248296538566,3.624965930771327
FT,86.08,83.71,79.35,73.31,62.48,64.77,60.81,54.42,35.53,12.67,93.72549019607844,87.05882352941177,65.88235294117646,10.784313725490197,2.7450980392156863,91.93240665031344,85.6091578086672,58.898882529299534,14.418097574270918,9.8119378577269
GA,85.19,81.29,69.75,48.58,30.65,64.06,56.47,38.41,17.72,7.53,93.62745098039215,87.15686274509804,66.96078431372548,11.176470588235292,2.450980392156863,91.30553284273644,89.04333605887163,67.37530662305805,27.82774597983102,5.968928863450532
GA_l1,86.13,81.96,76.05,69.65,61.12,64.52,57.61,35.29,19.92,8.64,93.62745098039215,87.15686274509804,67.25490196078431,10.882352941176473,2.549019607843137,83.12891796129736,76.83292450258926,36.93104388116653,20.114472608340147,11.747070046334152
wfisher,84.85,79.31,65.34,47.09,31.0,63.69,55.9,38.66,17.42,7.63,93.52941176470588,87.45098039215686,66.76470588235294,10.980392156862743,1.862745098039216,90.37884982284,84.08285636413191,63.94112837285364,31.370945761787954,15.235759062414829
CRUL,88.53,87.74,87.3,84.12,80.34,66.78,65.43,63.85,60.95,58.26,94.6078431372549,90.3921568627451,90.49019607843135,60.09803921568628,25.09803921568628,92.58653584082856,92.259471245571,91.1692559280458,89.17961297356229,78.3864813300627
