,cifar-10(sym)-0.9,cifar-100(asym)-0.9,flower-102(sym)-0.9,pet-37(asym)-0.9
pretrain,84.85,65.16,91.07843137254902,89.26137912237667
inc_train,30.04,7.5,2.843137254901961,4.933224311801581
Coteachingplus,70.64,51.39,2.647058823529412,28.6181520850368
Decoupling,71.99,51.28,3.627450980392157,47.86045243935677
DISC,76.39,56.29,19.41176470588235,35.92259471245571
PENCIL,64.62,17.64,2.7450980392156863,3.624965930771327
FT,62.48,12.67,2.7450980392156863,9.8119378577269
GA,30.65,7.53,2.450980392156863,5.968928863450532
CRUL,80.34,58.26,25.09803921568628,78.3864813300627
